method,model,n_stations,device,n_gpus,n_cpus,K,runtime_s,metric,success_rate,path,p_f1,s_f1
playback,EQCCT,250,cpu,0,5,5.0,15.7434814,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQCCT/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.8978723404255319,0.9423868312757201
playback,EQCCT,250,cpu,0,10,10.0,10.4447422,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQCCT/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.8978723404255319,0.9423868312757201
playback,EQCCT,250,cpu,0,20,20.0,11.1963036,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQCCT/cpu/kma20_krp0/sg/playback/static/bs512/xfer/result.json,0.8978723404255319,0.9423868312757201
playback,EQCCT,250,gpu,1,5,4.0,0.651378,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQCCT/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.8978723404255319,0.9423868312757201
playback,EQCCT,580,cpu,0,5,5.0,36.920696,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQCCT/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.90524379024839,0.9463500439753737
playback,EQCCT,580,cpu,0,10,10.0,24.4891816,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQCCT/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.90524379024839,0.9463500439753737
playback,EQCCT,580,cpu,0,20,20.0,26.2038038,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQCCT/cpu/kma20_krp0/sg/playback/static/bs512/xfer/result.json,0.90524379024839,0.9463500439753737
playback,EQCCT,580,gpu,1,5,4.0,1.2623844,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQCCT/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.90524379024839,0.9463500439753737
playback,EQT-NC,250,cpu,0,5,5.0,4.8967704,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQT-NC/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.9083155650319829,0.962962962962963
playback,EQT-NC,250,cpu,0,10,10.0,3.1210664,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQT-NC/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.9083155650319829,0.962962962962963
playback,EQT-NC,250,gpu,1,5,4.0,0.6928614,makespan_s,1.0,ma/annotate_bf16/stead/250st/EQT-NC/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.9102564102564101,0.9670781893004115
playback,EQT-NC,580,cpu,0,5,5.0,11.7514558,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQT-NC/cpu/kma5_krp0/sg/playback/static/bs512/xfer/result.json,0.9142857142857143,0.9638766519823789
playback,EQT-NC,580,cpu,0,10,10.0,7.4933442,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQT-NC/cpu/kma10_krp0/sg/playback/static/bs512/xfer/result.json,0.9142857142857143,0.9638766519823789
playback,EQT-NC,580,cpu,0,20,20.0,7.1330860000000005,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQT-NC/cpu/kma20_krp0/sg/playback/static/bs512/xfer/result.json,0.9142857142857143,0.9638766519823789
playback,EQT-NC,580,gpu,1,5,4.0,1.1779492,makespan_s,1.0,ma/annotate_bf16/stead/580st/EQT-NC/gpu/kma4_krp0/sg/playback/static/bs512/xfer/result.json,0.915129151291513,0.9656387665198237
